,idx,title,summary,genres,authors,ban_info
383,384,Romiette and Julio,"Like Shakespeare's famous star-crossed lovers, Romiette Cappelle and Julio Montague face strong opposition to their budding romance, in their case, a dangerous gang's disapproval of their interracial relationship puts the two in mortal peril.","Young Adult, Romance, Fiction, Realistic Fiction, Retellings, African American, Teen","Draper, Sharon M.","Banned in Libraries, Florida, Lee County Schools, May 2022, Administrator;"
384,385,Hot Dog Girl,"Elouise (Lou) Parker is determined to have the absolute best, most impossibly epic summer of her life. There are just a few things standing in her way: * She's landed a job at Magic Castle Playland . . . as a giant dancing hot dog. * Her crush, the dreamy Diving Pirate Nick, already has a girlfriend, who is literally the Princess of the park. But Lou's never liked anyone, guy or otherwise, this much before, and now she wants a chance at her own happily ever after. * Her best friend, Seeley, the carousel operator, who's always been up for anything, suddenly isn't when it comes to Lou's quest to set her up with the perfect girl or Lou's scheme to get close to Nick. * And it turns out that this will be their last summer at Magic Castle Playland--ever--unless she can find a way to stop it from closing.Jennifer Dugan's sparkling debut coming-of-age queer romance stars a princess, a pirate, a hot dog, and a carousel operator who find love--and themselves--in unexpected people and unforgettable places.","Young Adult, Romance, LGBT, Contemporary, Fiction, Queer, Lesbian","Dugan, Jennifer","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
385,386,Verona Comics,"From the author of Hot Dog Girl comes a fresh and funny queer YA contemporary novel about two teens who fall in love in an indie comic book shop.Jubilee has it all together. She’s an elite cellist, and when she’s not working in her stepmom’s indie comic shop, she’s prepping for the biggest audition of her life.Ridley is barely holding it together. His parents own the biggest comic-store chain in the country, and Ridley can’t stop disappointing them—that is, when they’re even paying attention.They meet one fateful night at a comic convention prom, and the two can’t help falling for each other. Too bad their parents are at each other’s throats every chance they get, making a relationship between them nearly impossible…unless they manage to keep it a secret.Then again, the feud between their families may be the least of their problems. As Ridley’s anxiety spirals, Jubilee tries to help but finds her focus torn between her fast-approaching audition and their intensifying relationship. What if love can’t conquer all? What if each of them needs more than the other can give?","Romance, Contemporary, Young Adult, LGBT, Mental Health, Queer, Fiction","Dugan, Jennifer","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator;"
386,387,"It Ain't So Awful, Falafel","Zomorod (Cindy) Yousefzadeh is the new kid on the block . . . for the fourth time. California’s Newport Beach is her family’s latest perch, and she’s determined to shuck her brainy loner persona and start afresh with a new Brady Bunch name—Cindy. It’s the late 1970s, and fitting in becomes more difficult as Iran makes U.S. headlines with protests, revolution, and finally the taking of American hostages. Even mood rings and puka shell necklaces can't distract Cindy from the anti-Iran sentiments that creep way too close to home. A poignant yet lighthearted middle grade debut from the author of the best-selling Funny in Farsi.","Historical Fiction, Middle Grade, Realistic Fiction, Fiction, Young Adult, Historical, Childrens","Dumas, Firoozeh","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator;"
387,388,"Attack of the Swamp Thing (Jaden Toussaint, the Greatest, #4)","Giant Afro. Even Bigger Brain. Jaden Toussaint, 5 year-old scientist and all around cool dude, can tackle any problem with his super-powered brain power. This time our hero must survive all alone with only his mother, father, and all his friends to keep him company when his sister goes to sleep-away camp. Sissy being gone is bad enough, but now that she is, who will protect him from...The Swamp Thing? Jaden Toussaint, the Greatest is a series of chapter books that kids and parents love. Kids love the awesome brain power and ninja dance moves of a superhero as real as they are. Parents appreciate the author's humor, but they love watching their kids-- even reluctant readers-- keep turning pages. Fans ofJunie B. Jones, the Magic Tree House, Dan Gutman, Ivy and Bean, and Franny K. Stein will lovethe Jaden Toussaint series of illustrated chapter books. They are hilarious andempowering for kids and grown-ups alike. Get your copy today.",,"Dumas, Marti","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
388,389,"Mission Star-Power (Jaden Toussaint, the Greatest, #5)"," Giant Afro. Even Bigger Brain.Jaden Toussaint is a five-year-old who knows it all. I mean, really knows it all. Animal Scientist. Great Debater. Master of the art of ninja dancing. There's nothing Jaden Toussaint can't do.This time our hero is on a quest--a star quest. JT wants to get a million likes so he can be a famous animal explorer who teaches kids stuff on tv (and possibly Broadway). Unfortunately, his parents won't even let him post the video. How can get a million likes if he can't even post the video? Never fear. Jaden Toussaint always has a plan, and you can read all about it in Episode 5: Mission Star-Power.Fans of Junie B. Jones, the Magic Tree House, Dan Gutman, and Franny K. Stein will love the Jaden Toussaint series of illustrated chapter books. They are hilarious and empowering for kids and grown-ups alike. Get your copy today.#SmartistheNewCoolBook Contains:Science? Check.Jokes? Check.Great hair? Check.Seriously awesome illustrations? Check.What Readers Are Saying:""We read this as a family read before bedtime.The kids enjoyed the characters in the book and learned some creole dialect as well. I enjoyed the positive role model Jaden presented. Being smart is COOL!""""Absolutely excellent. The author's depiction of a kindergartner is fantastic. My kindergartner really identified with Jaden as he also likes his teacher, has all kinds of friends, and is ALWAYS begging for screen time...As a Black parent, it's refreshing to read a book that's NOT about stereo typically Black interests, racism, or urban life. Buying Episode 2 TODAY!""""Wonderful story! This little boy just comes to life for you! :) An excellent book to read and share with your children or just yourself! :D""",,"Dumas, Marti","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
389,390,"Jaden Toussaint, the Greatest Episode 3: Muffin Wars"," What's a five-year old genius' worst nightmare? Another five-year-old genius. Jaden Toussaint, 5 year-old scientist and all around cool dude, has finally met his match. His cousin Muffin is every bit as epic as he is--maybe more! Will Jaden Toussaint keep his cool? Will life as we know it end as a result? Will anyone ever eat his Super Sneaky Seven Fruit Fruit Salad Muffins? Find out in Episode 3: Muffin Wars. Fans of Junie B. Jones, the Magic Tree House, Dan Gutman, and Franny K. Stein will love the Jaden Toussaint series of illustrated chapter books. They are hilarious and empowering for kids and grown-ups alike. Get your copy today. #SmartistheNewCool Book Science? Check. Jokes? Check. Great hair? Check. Seriously awesome illustrations? Check.","Childrens, Fiction","Dumas, Marti","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
390,391,The Ladek Invasion: Episode 2,"Jaden Toussaint is a five year-old who knows it all. I mean, really knows it all. Animal Scientist. Great Debater. Master of the art of ninja dancing. There's nothing Jaden Toussaint can't do.This time there is an alien invasion at school. (They may look like caterpillars, but you can never be too safe.) Our hero must use all his super-powered brain power to save the people and (possible) aliens from each other!Jaden Toussaint, the Greatest is a series of chapter books that kids and parents love. Kids love the awesome brain power and ninja dance moves of a superhero as real as they are. Parents appreciate the author's humor, but they love watching their kids-- even reluctant readers-- keep turning pages. Jaden Toussaint is the new definition of cool.","Childrens, Fiction","Dumas, Marti","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
391,392,"The Quest for Screen Time (Jaden Toussaint, the Greatest, #1)","Giant Afro. Even Bigger Brain.Jaden Toussaint is a five year-old who knows it all. I mean, really knows it all. Animal Scientist. Great Debater. Master of the art of ninja dancing. There’s nothing Jaden Toussaint can’t do. The only problem is that grown-ups keep trying to convince him that, even though he’s really smart, he doesn't know EVERYTHING. The thing is…he kind of does.This time our hero must use all his super-powered brain power to convince the grown-ups that he needs more screen time._____________________________Jaden Toussaint, the Greatest is the first in a series of entry-level chapter books children ages 5-10 and the adults who will read with them. The main character is a 5 year-old boy who is smart and confident almost to the point of being overly confident. He tackles his very ordinary problems with a scientific gusto that is both informative and humorous.","Childrens, Fiction, Chapter Books, Middle Grade, African American, Contemporary, 1st Grade","Dumas, Marti","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
392,393,"An Indigenous Peoples' History of the United States (ReVisioning American History, #3)","The first history of the United States told from the perspective of indigenous peoples Today in the United States, there are more than five hundred federally recognized Indigenous nations comprising nearly three million people, descendants of the fifteen million Native people who once inhabited this land. The centuries-long genocidal program of the US settler-colonial regimen has largely been omitted from history. Now, for the first time, acclaimed historian and activist Roxanne Dunbar-Ortiz offers a history of the United States told from the perspective of Indigenous peoples and reveals how Native Americans, for centuries, actively resisted expansion of the US empire.With growing support for movements such as the campaign to abolish Columbus Day and replace it with Indigenous Peoples’ Day and the Dakota Access Pipeline protest led by the Standing Rock Sioux Tribe, An Indigenous Peoples’ History of the United States is an essential resource providing historical threads that are crucial for understanding the present. In An Indigenous Peoples’ History of the United States, Dunbar-Ortiz adroitly challenges the founding myth of the United States and shows how policy against the Indigenous peoples was colonialist and designed to seize the territories of the original inhabitants, displacing or eliminating them. And as Dunbar-Ortiz reveals, this policy was praised in popular culture, through writers like James Fenimore Cooper and Walt Whitman, and in the highest offices of government and the military. Shockingly, as the genocidal policy reached its zenith under President Andrew Jackson, its ruthlessness was best articulated by US Army general Thomas S. Jesup, who, in 1836, wrote of the Seminoles: “The country can be rid of them only by exterminating them.”  Spanning more than four hundred years, this classic bottom-up peoples’ history radically reframes US history and explodes the silences that have haunted our national narrative.An Indigenous Peoples' History of the United States is a 2015 PEN Oakland-Josephine Miles Award for Excellence in Literature.","History, Nonfiction, Social Justice, Race, Politics, Anti Racist, American History","Dunbar-Ortiz, Roxanne","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
393,394,We Are Lost and Found,"A poignant, heartbreaking, and uplifting story in the tradition of The Perks of Being a Wallflower about three friends coming of age in the early 1980s as they struggle to forge their own paths in the face of fear of the unknown.Michael is content to live in the shadow of his best friends, James, an enigmatic teen performance artist who everyone wants and no one can have and Becky, who calls things as she sees them, while doing all she can to protect those she loves. His brother, Connor, has already been kicked out of the house for being gay and laying low seems to be his only chance to avoid the same fate. To pass the time before graduation, Michael hangs out at The Echo where he can dance and forget about his father's angry words, the pressures of school, and the looming threat of AIDS, a disease that everyone is talking about, but no one understands.Then he meets Gabriel, a boy who actually sees him. A boy who, unlike seemingly everyone else in New York City, is interested in him and not James. And Michael has to decide what he's willing to risk to be himself.-------------------------------------------------------------------------------------Optioned for screen by Game of Thrones’ Nikolaj Coster-Waldau’s, Ill Kippers Productions, and Pretty Little Liars’ Julian Morris","LGBT, Young Adult, Historical Fiction, Queer, Contemporary, Romance, Historical","Dunbar, Helene","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator;"
394,395,The Art of Critical Pedagogy: Possibilities for Moving from Theory to Practice in Urban Schools,"This book furthers the discussion concerning critical pedagogy and its practical applications for urban contexts. It addresses two looming, yet under-explored questions that have emerged with the ascendancy of critical pedagogy in the educational discourse: (1) What does critical pedagogy look like in work with urban youth? and (2) How can a systematic investigation of critical work enacted in urban contexts simultaneously draw upon and push the core tenets of critical pedagogy? Addressing the tensions inherent in enacting critical pedagogy - between working to disrupt and to successfully navigate oppressive institutionalized structures, and between the practice of critical pedagogy and the current standards-driven climate - The Art of Critical Pedagogy seeks to generate authentic internal and external dialogues among educators in search of texts that offer guidance for teaching for a more socially just world.","Education, Teaching, Nonfiction, Race, Grad School","Duncan-Andrade, Jeffrey M. R.","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
395,396,"Memphis, Martin, and the Mountaintop: The Sanitation Strike of 1968","This historical fiction picture book presents the story of nine-year-old Lorraine Jackson, who in 1968 witnessed the Memphis sanitation strike--Dr. Martin Luther King Jr.'s final stand for justice before his assassination--when her father, a sanitation worker, participated in the protest.In February 1968, two African American sanitation workers were killed by unsafe equipment in Memphis, Tennessee. Outraged at the city's refusal to recognize a labor union that would fight for higher pay and safer working conditions, sanitation workers went on strike. The strike lasted two months, during which Dr. Martin Luther King Jr. was called to help with the protests. While his presence was greatly inspiring to the community, this unfortunately would be his last stand for justice. He was assassinated in his Memphis hotel the day after delivering his ""I've Been to the Mountaintop"" sermon in Mason Temple Church. Inspired by the memories of a teacher who participated in the strike as a child, author Alice Faye Duncan reveals the story of the Memphis sanitation strike from the perspective of a young girl with a riveting combination of poetry and prose.","Picture Books, History, Nonfiction, African American, Childrens, Historical, Poetry","Duncan, Alice Faye","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator;"
396,397,Killing Mr. Griffin,"Kill their English teacher? Even if Mr. Griffin was the toughest teacher in the school, the one who demanded the most, gave the lowest grades, and refused to turn the classroom into a place where students had 'fun'—there was no reason to kill him. Or was there?Well, Mark suggested, perhaps not kill him—just really frighten him. Kidnap him for a few hours and teach him that students could strike back.No, they never actually intended to kill Mr. Griffin. But sometimes even the best-laid plans go wrong.","Young Adult, Mystery, Fiction, Horror, Thriller, Banned Books, Suspense","Duncan, Lois","Banned Pending Investigation, Florida, Indian River County School District, November 2021, Administrator; Banned in Libraries and Classrooms, Florida, Jackson County School District, April 2022, Administrator; Banned Pending Investigation, Florida, Lee County Schools, March 2022, Administrator; Banned in Libraries, Florida, St. Lucie Public Schools, December 2021, Formal Challenge; Banned Pending Investigation, Florida, Walton County School District, April 2022, Administrator;"
397,398,A Perfect Blank,"Project Apogee had one mission: to create biologically engineered perfect teenagers. The teenagers were supposed to be expressions of a perfect genetic mapping of traits, an example of the New Human. But when the teens go before the project committee, they are found to be utterly normal and unremarkable, a disappointment. Then there's Alex, the lost teen who failed years ago, who might just be the most remarkable of them all.","Young Adult, Poetry, Science Fiction, Teen","Duran, Rye","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator;"
398,399,The Girl Who Fell from the Sky,"This debut novel tells the story of Rachel, the daughter of a Danish mother and a black G.I. who becomes the sole survivor of a family tragedy. With her strict African American grandmother as her new guardian, Rachel moves to a mostly black community, where her light brown skin, blue eyes, and beauty bring mixed attention her way. Growing up in the 1980s, she learns to swallow her overwhelming grief and confronts her identity as a biracial young woman in a world that wants to see her as either black or white. In the tradition of Jamaica Kincaid's Annie John and Toni Morrison's The Bluest Eye, here is a portrait of a young girl - and society's ideas of race, class, and beauty.","Fiction, Young Adult, Historical Fiction, Coming Of Age, African American, Audiobook, Race","Durrow, Heidi W.","Banned Pending Investigation, Kansas, Goddard Public Schools, November 2021, Administrator;"
399,400,The Art of Saving the World,"One girl and her doppelgangers try to stop the end of the world in this YA sci-fi adventureWhen Hazel Stanczak was born, an interdimensional rift tore open near her family’s home, which prompted immediate government attention. They soon learned that if Hazel strayed too far, the rift would become volatile and fling things from other dimensions onto their front lawn—or it could swallow up their whole town. As a result, Hazel has never left her small Pennsylvania town, and the government agents garrisoned on her lawn make sure it stays that way. On her sixteenth birthday, though, the rift spins completely out of control. Hazel comes face-to-face with a surprise: a second Hazel. Then another. And another. Three other Hazels from three different dimensions! Now, for the first time, Hazel has to step into the world to learn about her connection to the rift—and how to close it. But is Hazel—even more than one of her—really capable of saving the world?","Fantasy, Young Adult, Science Fiction, LGBT, Queer, Lesbian, Asexual","Duyvis, Corinne","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
400,401,Enough! 20 Protesters Who Changed America,"From Samuel Adams to the students from Parkland, march through history with the heroic revolutionary protesters who changed America.","Picture Books, Nonfiction, Social Justice, Childrens, History, Biography, Activism","Easton, Emily","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
401,402,The Witch King (Witch King #1),"To save a fae kingdom, a trans witch must face his traumatic past and the royal fiancé he left behind. This debut YA fantasy will leave you spellbound.Wyatt would give anything to forget where he came from—but a kingdom demands its king.In Asalin, fae rule and witches like Wyatt Croft…don’t. Wyatt’s betrothal to his best friend, fae prince Emyr North, was supposed to change that. But when Wyatt lost control of his magic one devastating night, he fled to the human world.Now a coldly distant Emyr has hunted him down. Despite transgender Wyatt’s newfound identity and troubling past, Emyr has no intention of dissolving their engagement. In fact, he claims they must marry now or risk losing the throne. Jaded, Wyatt strikes a deal with the enemy, hoping to escape Asalin forever. But as he gets to know Emyr, Wyatt realizes the boy he once loved may still exist. And as the witches face worsening conditions, he must decide once and for all what’s more important—his people or his freedom.","Fantasy, LGBT, Young Adult, Queer, Romance, Transgender, Witches","Edgmon, H. E.","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator;"
402,403,Who Is Barack Obama?,"As the world now knows, Barack Obama has made history as our first African-American president. With black-and-white illustrations throughout, this biography is perfect for primary graders looking for a longer, fuller life story than is found in the author's bestselling beginning reader: Barack Obama: United States President.","Biography, Nonfiction, History, Childrens, Politics, African American, Chapter Books","Edwards, Roberta","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
403,404,After,"An infant left in the trash to die. A teenage mother who never knew she was pregnant . . . Before That Morning, these were the words most often used to describe straight-A student and star soccer player Devon: responsible, hardworking, mature. But all that changes when the police find Devon home sick from school as they investigate the case of an abandoned baby. Soon the connection is made—Devon has just given birth; the baby in the trash is hers. After That Morning, there's only one way to define attempted murderer. And yet gifted author Amy Efaw does the impossible: she turns Devon into an empathetic character, a girl who was in such deep denial that she refused to believe she was pregnant. Through airtight writing and fast-paced, gripping storytelling, Ms. Efaw takes the reader on Devon's unforgettable journey toward clarity, acceptance, and redemption.","Young Adult, Realistic Fiction, Fiction, Contemporary, Teen, Mystery, Crime","Efaw, Amy","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
404,405,"The Circle (The Circle, #1)","alternate cover for ISBN 9780385351393When Mae Holland is hired to work for the Circle, the world’s most powerful internet company, she feels she’s been given the opportunity of a lifetime. The Circle, run out of a sprawling California campus, links users’ personal emails, social media, banking, and purchasing with their universal operating system, resulting in one online identity and a new age of civility and transparency.As Mae tours the open-plan office spaces, the towering glass dining facilities, the cozy dorms for those who spend nights at work, she is thrilled with the company’s modernity and activity. There are parties that last through the night, there are famous musicians playing on the lawn, there are athletic activities and clubs and brunches, and even an aquarium of rare fish retrieved from the Marianas Trench by the CEO.Mae can’t believe her luck, her great fortune to work for the most influential company in the world—even as life beyond the campus grows distant, even as a strange encounter with a colleague leaves her shaken, even as her role at the Circle becomes increasingly public.What begins as the captivating story of one woman’s ambition and idealism soon becomes a heart-racing novel of suspense, raising questions about memory, history, privacy, democracy, and the limits of human knowledge.","Fiction, Science Fiction, Dystopia, Contemporary, Audiobook, Adult, Novels","Eggers, Dave","Banned in Libraries and Classrooms, South Dakota, Rapid City Area Schools, April 2022, Administrator;"
405,406,The New Queer Conscience,"Pocket Change Collective was born out of a need for space. Space to think. Space to connect. Space to be yourself. And this is your invitation to join us. In The New Queer Conscience, LGBTQIA+ activist Adam Eli argues the urgent need for queer responsibility -- that queers anywhere are responsible for queers everywhere.Pocket Change Collective is a series of small books with big ideas from today's leading activists and artists. In this installment,  The New Queer Conscience, Voices4 Founder and LGBTQIA+ activist Adam Eli offers a candid and compassionate introduction to queer responsibility. Eli calls on his Jewish faith to underline how kindness and support within the queer community can lead to a stronger global consciousness. More importantly, he reassures us that we're not alone. In fact, we never were. Because if you mess with one queer, you mess with us all.","Nonfiction, LGBT, Queer, Essays, Audiobook, Memoir, Social Justice","Eli, Adam","Banned in Libraries and Classrooms, Tennessee, Collierville Schools, February 2022, Administrator;"
406,407,"Perfect Chemistry (Perfect Chemistry, #1)","Jeden anderen hätte Brittany Ellis, wohlbehütete Beauty Queen und unangefochtene Nr. 1 an der Schule, lieber als Chemiepartner gehabt als Alex Fuentes, den zugegebenermaßen attraktiven Leader einer Gang. Und auch Alex weiß: eine explosivere Mischung als ihn und die reiche »Miss Perfecta« kann es kaum geben. Dennoch wettet er mit seinen Freunden: Binnen 14 Tagen wird es ihm gelingen, die schöne Brittany zu verführen. Womit keiner gerechnet hat: Dass aus dem gefährlichen Spiel alsbald gefährlicher Ernst wird, denn Brittany und Alex verlieben sich mit Haut und Haaren ineinander. Das aber kann die Gang, der Alex angehört, nicht zulassen …","Romance, Young Adult, Contemporary, High School, Contemporary Romance, Fiction, New Adult","Elkeles, Simone","Banned in Libraries and Classrooms, Florida, Indian River County School District, November 2021, Administrator; Banned in Libraries, Georgia, Cherokee County School District, January 2022, Formal Challenge;"
407,408,Milo's Museum,"Milo is excited about her class trip to the museum. The docent leads them on a tour and afterward Milo has time to look around on her own. But something doesn’t feel right, and Milo gradually realizes that the people from her community are missing from the museum. When her aunt urges her to find a solution, Milo takes matters into her own hands and opens her own museum!","Picture Books, Childrens, Art, Social Justice, Family, Cultural, History","Elliott, Zetta","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
408,409,Say Her Name,"For ages 12 and up. Inspired by the #SayHerName campaign launched by the African American Policy Forum, these poems pay tribute to victims of police brutality as well as the activists insisting that Black Lives Matter. Elliott engages poets from the past two centuries to create a chorus of voices celebrating the creativity, resilience, and courage of Black women and girls. This collection features 49 powerful poems, four of which are tribute poems inspired by the works of Lucille Clifton, Audre Lorde, Nikki Giovanni, and Phillis Wheatley. This collection aims to move every listener to reflect, respond—and act.","Poetry, Young Adult, Feminism, Contemporary, Social Justice, Audiobook, Middle Grade","Elliott, Zetta","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator;"
409,410,"Moonstruck, Vol. 1: Magic to Brew (Moonstruck, #1)","Werewolf barista Julie and her new girlfriend go on a date to a close-up magic show, but all heck breaks loose when the magician casts a horrible spell on their friend Chet. Now it's up to the team of mythical pals to stop the illicit illusionist before it's too late.Collects issues 1 through 5.","Graphic Novels, Fantasy, Comics, LGBT, Young Adult, Queer, Romance","Ellis, Grace","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
410,411,May the Best Man Win,"A trans boy enters a throw-down battle for the title of Homecoming King with the boy he dumped last summer in ZR Ellor's contemporary YA debut.Jeremy Harkiss, cheer captain and student body president, won’t let coming out as a transgender boy ruin his senior year. Instead of bowing to the bigots and an outdated school administration, Jeremy decides to make some noise—and how better than by challenging his all-star ex-boyfriend Lukas for the title of Homecoming King?Lukas Rivers, football star and head of the Homecoming Committee, is just trying to find order in his life after his older brother’s funeral and the loss of his long-term girlfriend—who turned out to be a boy. But when Jeremy threatens to break his heart and steal his crown, Lukas kickstarts a plot to sabotage Jeremy’s campaign.When both boys take their rivalry too far, the dance is on the verge of being canceled. To save Homecoming, they’ll have to face the hurt they’re both hiding—and the lingering butterflies they can’t deny.","LGBT, Romance, Young Adult, Queer, Contemporary, Transgender, Fiction","Ellor, Z. R.","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator;"
411,412,Home at Last,"A sympathetic tale of a mother-daughter bond and overcoming adversity, brought to life by the vivid illustrations of Felipe Davalos.","Picture Books, Family, Childrens, Fiction, Cultural","Elya, Susan Middleton","Banned Pending Investigation, Florida, Walton County School District, April 2022, Administrator;"
412,413,For White Folks Who Teach in the Hood... and the Rest of Y'all Too: Reality Pedagogy and Urban Education,"A New York Times Best Seller""Essential reading for all adults who work with black and brown young people...Filled with exceptional intellectual sophistication and necessary wisdom for the future of education.""—Imani Perry, National Book Award Winner author of South To AmericaAn award-winning educator offers a much-needed antidote to traditional top-down pedagogy and promises to radically reframe the landscape of urban education for the betterDrawing on his own experience of feeling undervalued and invisible in classrooms as a young man of color, Dr. Christopher Emdin has merged his experiences with more than a decade of teaching and researching in urban America. He takes to task the perception of urban youth of color as unteachable, and he challenges educators to embrace and respect each student’s culture and to reimagine the classroom as a site where roles are reversed and students become the experts in their own learning.Putting forth his theory of Reality Pedagogy, Emdin provides practical tools to unleash the brilliance and eagerness of youth and educators alike—both of whom have been typecast and stymied by outdated modes of thinking about urban education. With this fresh and engaging new pedagogical vision, Emdin demonstrates the importance of creating a family structure and building communities within the classroom, using culturally relevant strategies like hip-hop music and call-and-response, and connecting the experiences of urban youth to indigenous populations globally.Merging real stories with theory, research, and practice, Emdin demonstrates how by implementing the “Seven Cs” of reality pedagogy in their own classrooms, urban youth of color benefit from truly transformative education.","Education, Nonfiction, Teaching, Social Justice, Race, Anti Racist, Sociology","Emdin, Christopher","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
413,414,Pet,"
A thought-provoking and haunting novel about a creature that escapes from an artist's canvas, whose talent is sniffing out monsters in a world that claims they don't exist anymore. Perfect for fans of 

Akata Witch

 and 

Shadowshaper

.
There are no monsters anymore, or so the children in the city of Lucille are taught. Jam and her best friend, Redemption, have grown up with this lesson all their life. But when Jam meets Pet, a creature made of horns and colors and claws, who emerges from one of her mother's paintings and a drop of Jam's blood, she must reconsider what she's been told. Pet has come to hunt a monster--and the shadow of something grim lurks in Redemption's house. Jam must fight not only to protect her best friend, but also uncover the truth, and the answer to the question How do you save the world from monsters if no one will admit they exist?In their riveting and timely young adult debut, acclaimed novelist Akwaeke Emezi asks difficult questions about what choices you can make when the society around you is in denial.","Fantasy, Young Adult, LGBT, Fiction, Queer, Magical Realism, Middle Grade","Emezi, Akwaeke","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator;"
414,415,A Dog Named Haku: A Holiday Story from Nepal,"It's the Festival of Lights in Nepal, and today is the day to honor dogs! Brothers Alu and Bhalu wander the streets of Kathmandu, passing by twirling kites and bamboo swings, looking for a dog to feed. But as night falls, their task begins to feel hopeless, until they spot a small black dog who is in need of a friend. This sweet story presents an important Hindu holiday through the eyes of two young boys, making it relatable for both those familiar with the holiday and those reading about it for the first time.-- ""Journal""","Picture Books, Holiday, Dogs, Childrens, Animals, Asia, Realistic Fiction","Engle, Margarita","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator;"
415,416,Drum Dream Girl: How One Girl's Courage Changed Music,"Girls cannot be drummers. Long ago on an island filled with music, no one questioned that rule—until the drum dream girl. In her city of drumbeats, she dreamed of pounding tall congas and tapping small bongós. She had to keep quiet. She had to practice in secret. But when at last her dream-bright music was heard, everyone sang and danced and decided that both girls and boys should be free to drum and dream.         Inspired by the childhood of Millo Castro Zaldarriaga, a Chinese-African-Cuban girl who broke Cuba's traditional taboo against female drummers, Drum Dream Girl tells an inspiring true story for dreamers everywhere.","Picture Books, Music, Biography, Poetry, Childrens, Nonfiction, Cultural","Engle, Margarita","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
416,417,Hot Day on Abbott Avenue,"It's the hottest, stickiest day of the summer. A fat-sun-in-the-sky day. An eating-ice-pops-on-the-porch day. And for Kishi and Renée, it's a best-friends-breakup day. Each girl sits on her own front porch, waiting for the other to apologize, even though they know they'll never speak to each other again, no matter how bored they get. But then the sounds of feet slapping the pavement and voices chanting double-dutch rhymes drift up the avenue, and neither one can resist going out in the street to play.This lyrical friendship story, the first collaboration of two outstanding artists, pairs a rhythmic text with distinctive collage illustrations. Its subtle message about sharing and forgiveness will resonate with anyone who has ever experienced the ups and downs of being, and having, a best friend.","Picture Books, Childrens, Realistic Fiction, Cultural, African American, Fiction, Emotion","English, Karen","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
417,418,Nadia's Hands,"Saturday is Auntie Laila's wedding day and Nadia has been chosen as flower girl. The morning of the ceremony, Auntie Amina prepares Nadia's hands in the traditional way. Using henna, a natural dye, she creates intricate designs, called mehndi, on Nadia's hands. But Nadia is worried. Mehndi lasts a long time and doesn't wash off right away. When she goes to school on Monday, what will her classmates think of her hands? Will they understand that mehndi is part of her Pakistani heritage? By the afternoon, Nadia is swept up in the excitement of the wedding. Now she can't wait till Monday, when she can ""share her hands from Pakistan"" with the kids at school. Karen English's loving story of a Pakistani-American girl, who comes to an understanding of the rich culture she has inherited, is vividly illustrated by Jonathan Weiner.","Picture Books, Childrens, Cultural, Family, Pakistan, India, Realistic Fiction","English, Karen","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator;"
418,419,"Nikki & Deja (Nikki & Deja, #1)","Being the best of friends and always doing everything together, Nikki and Deja decide to create an exclusive group of their own in order to keep the arrogant new girl in school from gaining access to their clique in this amusing tale about the trials and tribulations of third-graders.","Realistic Fiction, Chapter Books, Childrens, Middle Grade, African American, Cultural, Fiction","English, Karen","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator;"
