,Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,summary,genres
328,"Callender, Kacen",Felix Ever After,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,"From Stonewall and Lambda Award-winning author Kacen Callender comes a revelatory YA novel about a transgender teen grappling with identity and self-discovery while falling in love for the first time.Felix Love has never been in love—and, yes, he’s painfully aware of the irony. He desperately wants to know what it’s like and why it seems so easy for everyone but him to find someone. What’s worse is that, even though he is proud of his identity, Felix also secretly fears that he’s one marginalization too many—Black, queer, and transgender—to ever get his own happily-ever-after.When an anonymous student begins sending him transphobic messages—after publicly posting Felix’s deadname alongside images of him before he transitioned—Felix comes up with a plan for revenge. What he didn’t count on: his catfish scenario landing him in a quasi–love triangle....But as he navigates his complicated feelings, Felix begins a journey of questioning and self-discovery that helps redefine his most important relationship: how he feels about himself.Felix Ever After is an honest and layered story about identity, falling in love, and recognizing the love you deserve.","LGBT, Young Adult, Contemporary, Romance, Queer, Fiction, Audiobook"
329,"Callender, Kacen",Felix Ever After,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,"From Stonewall and Lambda Award-winning author Kacen Callender comes a revelatory YA novel about a transgender teen grappling with identity and self-discovery while falling in love for the first time.Felix Love has never been in love—and, yes, he’s painfully aware of the irony. He desperately wants to know what it’s like and why it seems so easy for everyone but him to find someone. What’s worse is that, even though he is proud of his identity, Felix also secretly fears that he’s one marginalization too many—Black, queer, and transgender—to ever get his own happily-ever-after.When an anonymous student begins sending him transphobic messages—after publicly posting Felix’s deadname alongside images of him before he transitioned—Felix comes up with a plan for revenge. What he didn’t count on: his catfish scenario landing him in a quasi–love triangle....But as he navigates his complicated feelings, Felix begins a journey of questioning and self-discovery that helps redefine his most important relationship: how he feels about himself.Felix Ever After is an honest and layered story about identity, falling in love, and recognizing the love you deserve.","LGBT, Young Adult, Contemporary, Romance, Queer, Fiction, Audiobook"
370,"Chbosky, Stephen",The Perks of Being a Wallflower,Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administrator,"Charlie is a freshman.And while he's not the biggest geek in the school, he is by no means popular. Shy, introspective, intelligent beyond his years yet socially awkward, he is a wallflower, caught between trying to live his life and trying to run from it.Charlie is attempting to navigate his way through uncharted territory: the world of first dates and mix tapes, family dramas and new friends; the world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that perfect song on that perfect drive to feel infinite. But he can't stay on the sideline forever. Standing on the fringes of life offers a unique perspective. But there comes a time to see what it looks like from the dance floor.The Perks of Being a Wallflower is a deeply affecting coming-of-age story that will spirit you back to those wild and poignant roller-coaster days known as growing up.","Young Adult, Fiction, Coming Of Age, Classics, Romance, Mental Health, Realistic Fiction"
371,"Chbosky, Stephen",The Perks of Being a Wallflower,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,"Charlie is a freshman.And while he's not the biggest geek in the school, he is by no means popular. Shy, introspective, intelligent beyond his years yet socially awkward, he is a wallflower, caught between trying to live his life and trying to run from it.Charlie is attempting to navigate his way through uncharted territory: the world of first dates and mix tapes, family dramas and new friends; the world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that perfect song on that perfect drive to feel infinite. But he can't stay on the sideline forever. Standing on the fringes of life offers a unique perspective. But there comes a time to see what it looks like from the dance floor.The Perks of Being a Wallflower is a deeply affecting coming-of-age story that will spirit you back to those wild and poignant roller-coaster days known as growing up.","Young Adult, Fiction, Coming Of Age, Classics, Romance, Mental Health, Realistic Fiction"
372,"Chbosky, Stephen",The Perks of Being a Wallflower,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,"Charlie is a freshman.And while he's not the biggest geek in the school, he is by no means popular. Shy, introspective, intelligent beyond his years yet socially awkward, he is a wallflower, caught between trying to live his life and trying to run from it.Charlie is attempting to navigate his way through uncharted territory: the world of first dates and mix tapes, family dramas and new friends; the world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that perfect song on that perfect drive to feel infinite. But he can't stay on the sideline forever. Standing on the fringes of life offers a unique perspective. But there comes a time to see what it looks like from the dance floor.The Perks of Being a Wallflower is a deeply affecting coming-of-age story that will spirit you back to those wild and poignant roller-coaster days known as growing up.","Young Adult, Fiction, Coming Of Age, Classics, Romance, Mental Health, Realistic Fiction"
373,"Chbosky, Stephen",The Perks of Being a Wallflower,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator,"Charlie is a freshman.And while he's not the biggest geek in the school, he is by no means popular. Shy, introspective, intelligent beyond his years yet socially awkward, he is a wallflower, caught between trying to live his life and trying to run from it.Charlie is attempting to navigate his way through uncharted territory: the world of first dates and mix tapes, family dramas and new friends; the world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that perfect song on that perfect drive to feel infinite. But he can't stay on the sideline forever. Standing on the fringes of life offers a unique perspective. But there comes a time to see what it looks like from the dance floor.The Perks of Being a Wallflower is a deeply affecting coming-of-age story that will spirit you back to those wild and poignant roller-coaster days known as growing up.","Young Adult, Fiction, Coming Of Age, Classics, Romance, Mental Health, Realistic Fiction"
374,"Chbosky, Stephen",The Perks of Being a Wallflower,Banned in Libraries,,,,Missouri,Nixa Public Schools,February 2022,Formal Challenge,"Charlie is a freshman.And while he's not the biggest geek in the school, he is by no means popular. Shy, introspective, intelligent beyond his years yet socially awkward, he is a wallflower, caught between trying to live his life and trying to run from it.Charlie is attempting to navigate his way through uncharted territory: the world of first dates and mix tapes, family dramas and new friends; the world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that perfect song on that perfect drive to feel infinite. But he can't stay on the sideline forever. Standing on the fringes of life offers a unique perspective. But there comes a time to see what it looks like from the dance floor.The Perks of Being a Wallflower is a deeply affecting coming-of-age story that will spirit you back to those wild and poignant roller-coaster days known as growing up.","Young Adult, Fiction, Coming Of Age, Classics, Romance, Mental Health, Realistic Fiction"
375,"Chbosky, Stephen",The Perks of Being a Wallflower,Banned in Libraries and Classrooms,,,,South Dakota,Rapid City Area Schools,April 2022,Administrator,"Charlie is a freshman.And while he's not the biggest geek in the school, he is by no means popular. Shy, introspective, intelligent beyond his years yet socially awkward, he is a wallflower, caught between trying to live his life and trying to run from it.Charlie is attempting to navigate his way through uncharted territory: the world of first dates and mix tapes, family dramas and new friends; the world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that perfect song on that perfect drive to feel infinite. But he can't stay on the sideline forever. Standing on the fringes of life offers a unique perspective. But there comes a time to see what it looks like from the dance floor.The Perks of Being a Wallflower is a deeply affecting coming-of-age story that will spirit you back to those wild and poignant roller-coaster days known as growing up.","Young Adult, Fiction, Coming Of Age, Classics, Romance, Mental Health, Realistic Fiction"
376,"Chbosky, Stephen",The Perks of Being a Wallflower,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,"Charlie is a freshman.And while he's not the biggest geek in the school, he is by no means popular. Shy, introspective, intelligent beyond his years yet socially awkward, he is a wallflower, caught between trying to live his life and trying to run from it.Charlie is attempting to navigate his way through uncharted territory: the world of first dates and mix tapes, family dramas and new friends; the world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that perfect song on that perfect drive to feel infinite. But he can't stay on the sideline forever. Standing on the fringes of life offers a unique perspective. But there comes a time to see what it looks like from the dance floor.The Perks of Being a Wallflower is a deeply affecting coming-of-age story that will spirit you back to those wild and poignant roller-coaster days known as growing up.","Young Adult, Fiction, Coming Of Age, Classics, Romance, Mental Health, Realistic Fiction"
377,"Chbosky, Stephen",The Perks of Being a Wallflower,Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator,"Charlie is a freshman.And while he's not the biggest geek in the school, he is by no means popular. Shy, introspective, intelligent beyond his years yet socially awkward, he is a wallflower, caught between trying to live his life and trying to run from it.Charlie is attempting to navigate his way through uncharted territory: the world of first dates and mix tapes, family dramas and new friends; the world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that perfect song on that perfect drive to feel infinite. But he can't stay on the sideline forever. Standing on the fringes of life offers a unique perspective. But there comes a time to see what it looks like from the dance floor.The Perks of Being a Wallflower is a deeply affecting coming-of-age story that will spirit you back to those wild and poignant roller-coaster days known as growing up.","Young Adult, Fiction, Coming Of Age, Classics, Romance, Mental Health, Realistic Fiction"
460,"Craft, Jerry",New Kid,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,"A graphic novel about starting over at a new school where diversity is low and the struggle to fit in is real.Seventh grader Jordan Banks loves nothing more than drawing cartoons about his life. But instead of sending him to the art school of his dreams, his parents enroll him in a prestigious private school known for its academics, where Jordan is one of the few kids of color in his entire grade.As he makes the daily trip from his Washington Heights apartment to the upscale Riverdale Academy Day School, Jordan soon finds himself torn between two worlds—and not really fitting into either one. Can Jordan learn to navigate his new school culture while keeping his neighborhood friends and staying true to himself?","Graphic Novels, Middle Grade, Realistic Fiction, Fiction, Young Adult, Comics, Childrens"
461,"Craft, Jerry",New Kid,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,"A graphic novel about starting over at a new school where diversity is low and the struggle to fit in is real.Seventh grader Jordan Banks loves nothing more than drawing cartoons about his life. But instead of sending him to the art school of his dreams, his parents enroll him in a prestigious private school known for its academics, where Jordan is one of the few kids of color in his entire grade.As he makes the daily trip from his Washington Heights apartment to the upscale Riverdale Academy Day School, Jordan soon finds himself torn between two worlds—and not really fitting into either one. Can Jordan learn to navigate his new school culture while keeping his neighborhood friends and staying true to himself?","Graphic Novels, Middle Grade, Realistic Fiction, Fiction, Young Adult, Comics, Childrens"
462,"Craft, Jerry",New Kid,Banned in Libraries,,,,Texas,Katy Independent School District,September 2021,Administrator,"A graphic novel about starting over at a new school where diversity is low and the struggle to fit in is real.Seventh grader Jordan Banks loves nothing more than drawing cartoons about his life. But instead of sending him to the art school of his dreams, his parents enroll him in a prestigious private school known for its academics, where Jordan is one of the few kids of color in his entire grade.As he makes the daily trip from his Washington Heights apartment to the upscale Riverdale Academy Day School, Jordan soon finds himself torn between two worlds—and not really fitting into either one. Can Jordan learn to navigate his new school culture while keeping his neighborhood friends and staying true to himself?","Graphic Novels, Middle Grade, Realistic Fiction, Fiction, Young Adult, Comics, Childrens"
463,"Craft, Jerry",New Kid,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,"A graphic novel about starting over at a new school where diversity is low and the struggle to fit in is real.Seventh grader Jordan Banks loves nothing more than drawing cartoons about his life. But instead of sending him to the art school of his dreams, his parents enroll him in a prestigious private school known for its academics, where Jordan is one of the few kids of color in his entire grade.As he makes the daily trip from his Washington Heights apartment to the upscale Riverdale Academy Day School, Jordan soon finds himself torn between two worlds—and not really fitting into either one. Can Jordan learn to navigate his new school culture while keeping his neighborhood friends and staying true to himself?","Graphic Novels, Middle Grade, Realistic Fiction, Fiction, Young Adult, Comics, Childrens"
585,"Duncan, Lois",Killing Mr. Griffin,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,"Kill their English teacher? Even if Mr. Griffin was the toughest teacher in the school, the one who demanded the most, gave the lowest grades, and refused to turn the classroom into a place where students had 'fun'—there was no reason to kill him. Or was there?Well, Mark suggested, perhaps not kill him—just really frighten him. Kidnap him for a few hours and teach him that students could strike back.No, they never actually intended to kill Mr. Griffin. But sometimes even the best-laid plans go wrong.","Young Adult, Mystery, Fiction, Horror, Thriller, Banned Books, Suspense"
586,"Duncan, Lois",Killing Mr. Griffin,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administrator,"Kill their English teacher? Even if Mr. Griffin was the toughest teacher in the school, the one who demanded the most, gave the lowest grades, and refused to turn the classroom into a place where students had 'fun'—there was no reason to kill him. Or was there?Well, Mark suggested, perhaps not kill him—just really frighten him. Kidnap him for a few hours and teach him that students could strike back.No, they never actually intended to kill Mr. Griffin. But sometimes even the best-laid plans go wrong.","Young Adult, Mystery, Fiction, Horror, Thriller, Banned Books, Suspense"
587,"Duncan, Lois",Killing Mr. Griffin,Banned Pending Investigation,,,,Florida,Lee County Schools,March 2022,Administrator,"Kill their English teacher? Even if Mr. Griffin was the toughest teacher in the school, the one who demanded the most, gave the lowest grades, and refused to turn the classroom into a place where students had 'fun'—there was no reason to kill him. Or was there?Well, Mark suggested, perhaps not kill him—just really frighten him. Kidnap him for a few hours and teach him that students could strike back.No, they never actually intended to kill Mr. Griffin. But sometimes even the best-laid plans go wrong.","Young Adult, Mystery, Fiction, Horror, Thriller, Banned Books, Suspense"
588,"Duncan, Lois",Killing Mr. Griffin,Banned in Libraries,,,,Florida,St. Lucie Public Schools,December 2021,Formal Challenge,"Kill their English teacher? Even if Mr. Griffin was the toughest teacher in the school, the one who demanded the most, gave the lowest grades, and refused to turn the classroom into a place where students had 'fun'—there was no reason to kill him. Or was there?Well, Mark suggested, perhaps not kill him—just really frighten him. Kidnap him for a few hours and teach him that students could strike back.No, they never actually intended to kill Mr. Griffin. But sometimes even the best-laid plans go wrong.","Young Adult, Mystery, Fiction, Horror, Thriller, Banned Books, Suspense"
589,"Duncan, Lois",Killing Mr. Griffin,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator,"Kill their English teacher? Even if Mr. Griffin was the toughest teacher in the school, the one who demanded the most, gave the lowest grades, and refused to turn the classroom into a place where students had 'fun'—there was no reason to kill him. Or was there?Well, Mark suggested, perhaps not kill him—just really frighten him. Kidnap him for a few hours and teach him that students could strike back.No, they never actually intended to kill Mr. Griffin. But sometimes even the best-laid plans go wrong.","Young Adult, Mystery, Fiction, Horror, Thriller, Banned Books, Suspense"
621,"Evaristo, Bernardine","Girl, Woman, Other",Banned in Libraries and Classrooms,,,"Aguilar, Julia Osuna",South Dakota,Rapid City Area Schools,April 2022,Administrator,"
Teeming with life and crackling with energy - a love song to modern Britain and black womanhood
Girl, Woman, Other follows the lives and struggles of twelve very different characters. Mostly women, black and British, they tell the stories of their families, friends and lovers, across the country and through the years.Joyfully polyphonic and vibrantly contemporary, this is a gloriously new kind of history, a novel of our times: celebratory, ever-dynamic and utterly irresistible.","Fiction, Feminism, Contemporary, LGBT, Literary Fiction, Short Stories, Queer"
622,"Evison, Jonathan",Lawn Boy,Banned in Libraries,,,,Florida,Orange County Public Schools,October 2021,Formal Challenge,"For Mike Muñoz, a young Chicano living in Washington State, life has been a whole lot of waiting for something to happen. Not too many years out of high school and still doing menial work—and just fired from his latest gig as a lawn boy on a landscaping crew—he knows that he's got to be the one to shake things up if he's ever going to change his life. But how? In this funny, angry, touching, and ultimately deeply inspiring novel, bestselling author Jonathan Evison takes the reader into the heart and mind of a young man on a journey to discover himself, a search to find the secret to achieving the American dream of happiness and prosperity. That's the birthright for all Americans, isn't it? If so, then what is Mike Muñoz's problem? Though he tries time and again to get his foot on the first rung of that ladder to success, he can't seem to get a break. But then things start to change for Mike, and after a raucous, jarring, and challenging trip, he finds he can finally see the future and his place in it. And it's looking really good. Lawn Boy is an important, entertaining, and completely winning novel about social class distinctions, about overcoming cultural discrimination, and about standing up for oneself.","Banned Books, Fiction, LGBT, Young Adult, Coming Of Age, Contemporary, Realistic Fiction"
623,"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,Iowa,Waukee Community School District,October 2021,Administrator,"For Mike Muñoz, a young Chicano living in Washington State, life has been a whole lot of waiting for something to happen. Not too many years out of high school and still doing menial work—and just fired from his latest gig as a lawn boy on a landscaping crew—he knows that he's got to be the one to shake things up if he's ever going to change his life. But how? In this funny, angry, touching, and ultimately deeply inspiring novel, bestselling author Jonathan Evison takes the reader into the heart and mind of a young man on a journey to discover himself, a search to find the secret to achieving the American dream of happiness and prosperity. That's the birthright for all Americans, isn't it? If so, then what is Mike Muñoz's problem? Though he tries time and again to get his foot on the first rung of that ladder to success, he can't seem to get a break. But then things start to change for Mike, and after a raucous, jarring, and challenging trip, he finds he can finally see the future and his place in it. And it's looking really good. Lawn Boy is an important, entertaining, and completely winning novel about social class distinctions, about overcoming cultural discrimination, and about standing up for oneself.","Banned Books, Fiction, LGBT, Young Adult, Coming Of Age, Contemporary, Realistic Fiction"
624,"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator,"For Mike Muñoz, a young Chicano living in Washington State, life has been a whole lot of waiting for something to happen. Not too many years out of high school and still doing menial work—and just fired from his latest gig as a lawn boy on a landscaping crew—he knows that he's got to be the one to shake things up if he's ever going to change his life. But how? In this funny, angry, touching, and ultimately deeply inspiring novel, bestselling author Jonathan Evison takes the reader into the heart and mind of a young man on a journey to discover himself, a search to find the secret to achieving the American dream of happiness and prosperity. That's the birthright for all Americans, isn't it? If so, then what is Mike Muñoz's problem? Though he tries time and again to get his foot on the first rung of that ladder to success, he can't seem to get a break. But then things start to change for Mike, and after a raucous, jarring, and challenging trip, he finds he can finally see the future and his place in it. And it's looking really good. Lawn Boy is an important, entertaining, and completely winning novel about social class distinctions, about overcoming cultural discrimination, and about standing up for oneself.","Banned Books, Fiction, LGBT, Young Adult, Coming Of Age, Contemporary, Realistic Fiction"
625,"Evison, Jonathan",Lawn Boy,Banned in Libraries,,,,Michigan,Novi Community School District,January 2022,Formal Challenge,"For Mike Muñoz, a young Chicano living in Washington State, life has been a whole lot of waiting for something to happen. Not too many years out of high school and still doing menial work—and just fired from his latest gig as a lawn boy on a landscaping crew—he knows that he's got to be the one to shake things up if he's ever going to change his life. But how? In this funny, angry, touching, and ultimately deeply inspiring novel, bestselling author Jonathan Evison takes the reader into the heart and mind of a young man on a journey to discover himself, a search to find the secret to achieving the American dream of happiness and prosperity. That's the birthright for all Americans, isn't it? If so, then what is Mike Muñoz's problem? Though he tries time and again to get his foot on the first rung of that ladder to success, he can't seem to get a break. But then things start to change for Mike, and after a raucous, jarring, and challenging trip, he finds he can finally see the future and his place in it. And it's looking really good. Lawn Boy is an important, entertaining, and completely winning novel about social class distinctions, about overcoming cultural discrimination, and about standing up for oneself.","Banned Books, Fiction, LGBT, Young Adult, Coming Of Age, Contemporary, Realistic Fiction"
626,"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,Minnesota,Wayzata Public Schools,January 2022,Administrator,"For Mike Muñoz, a young Chicano living in Washington State, life has been a whole lot of waiting for something to happen. Not too many years out of high school and still doing menial work—and just fired from his latest gig as a lawn boy on a landscaping crew—he knows that he's got to be the one to shake things up if he's ever going to change his life. But how? In this funny, angry, touching, and ultimately deeply inspiring novel, bestselling author Jonathan Evison takes the reader into the heart and mind of a young man on a journey to discover himself, a search to find the secret to achieving the American dream of happiness and prosperity. That's the birthright for all Americans, isn't it? If so, then what is Mike Muñoz's problem? Though he tries time and again to get his foot on the first rung of that ladder to success, he can't seem to get a break. But then things start to change for Mike, and after a raucous, jarring, and challenging trip, he finds he can finally see the future and his place in it. And it's looking really good. Lawn Boy is an important, entertaining, and completely winning novel about social class distinctions, about overcoming cultural discrimination, and about standing up for oneself.","Banned Books, Fiction, LGBT, Young Adult, Coming Of Age, Contemporary, Realistic Fiction"
627,"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,Missouri,Wentzville School District,October 2021,Formal Challenge,"For Mike Muñoz, a young Chicano living in Washington State, life has been a whole lot of waiting for something to happen. Not too many years out of high school and still doing menial work—and just fired from his latest gig as a lawn boy on a landscaping crew—he knows that he's got to be the one to shake things up if he's ever going to change his life. But how? In this funny, angry, touching, and ultimately deeply inspiring novel, bestselling author Jonathan Evison takes the reader into the heart and mind of a young man on a journey to discover himself, a search to find the secret to achieving the American dream of happiness and prosperity. That's the birthright for all Americans, isn't it? If so, then what is Mike Muñoz's problem? Though he tries time and again to get his foot on the first rung of that ladder to success, he can't seem to get a break. But then things start to change for Mike, and after a raucous, jarring, and challenging trip, he finds he can finally see the future and his place in it. And it's looking really good. Lawn Boy is an important, entertaining, and completely winning novel about social class distinctions, about overcoming cultural discrimination, and about standing up for oneself.","Banned Books, Fiction, LGBT, Young Adult, Coming Of Age, Contemporary, Realistic Fiction"
628,"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,New York,Yorktown Central School District,January 2022,Formal Challenge,"For Mike Muñoz, a young Chicano living in Washington State, life has been a whole lot of waiting for something to happen. Not too many years out of high school and still doing menial work—and just fired from his latest gig as a lawn boy on a landscaping crew—he knows that he's got to be the one to shake things up if he's ever going to change his life. But how? In this funny, angry, touching, and ultimately deeply inspiring novel, bestselling author Jonathan Evison takes the reader into the heart and mind of a young man on a journey to discover himself, a search to find the secret to achieving the American dream of happiness and prosperity. That's the birthright for all Americans, isn't it? If so, then what is Mike Muñoz's problem? Though he tries time and again to get his foot on the first rung of that ladder to success, he can't seem to get a break. But then things start to change for Mike, and after a raucous, jarring, and challenging trip, he finds he can finally see the future and his place in it. And it's looking really good. Lawn Boy is an important, entertaining, and completely winning novel about social class distinctions, about overcoming cultural discrimination, and about standing up for oneself.","Banned Books, Fiction, LGBT, Young Adult, Coming Of Age, Contemporary, Realistic Fiction"
629,"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,Ohio,Hudson City Schools,September 2021,Administrator,"For Mike Muñoz, a young Chicano living in Washington State, life has been a whole lot of waiting for something to happen. Not too many years out of high school and still doing menial work—and just fired from his latest gig as a lawn boy on a landscaping crew—he knows that he's got to be the one to shake things up if he's ever going to change his life. But how? In this funny, angry, touching, and ultimately deeply inspiring novel, bestselling author Jonathan Evison takes the reader into the heart and mind of a young man on a journey to discover himself, a search to find the secret to achieving the American dream of happiness and prosperity. That's the birthright for all Americans, isn't it? If so, then what is Mike Muñoz's problem? Though he tries time and again to get his foot on the first rung of that ladder to success, he can't seem to get a break. But then things start to change for Mike, and after a raucous, jarring, and challenging trip, he finds he can finally see the future and his place in it. And it's looking really good. Lawn Boy is an important, entertaining, and completely winning novel about social class distinctions, about overcoming cultural discrimination, and about standing up for oneself.","Banned Books, Fiction, LGBT, Young Adult, Coming Of Age, Contemporary, Realistic Fiction"
630,"Evison, Jonathan",Lawn Boy,Banned in Libraries,,,,Pennsylvania,North Penn School District,September 2021,Administrator,"For Mike Muñoz, a young Chicano living in Washington State, life has been a whole lot of waiting for something to happen. Not too many years out of high school and still doing menial work—and just fired from his latest gig as a lawn boy on a landscaping crew—he knows that he's got to be the one to shake things up if he's ever going to change his life. But how? In this funny, angry, touching, and ultimately deeply inspiring novel, bestselling author Jonathan Evison takes the reader into the heart and mind of a young man on a journey to discover himself, a search to find the secret to achieving the American dream of happiness and prosperity. That's the birthright for all Americans, isn't it? If so, then what is Mike Muñoz's problem? Though he tries time and again to get his foot on the first rung of that ladder to success, he can't seem to get a break. But then things start to change for Mike, and after a raucous, jarring, and challenging trip, he finds he can finally see the future and his place in it. And it's looking really good. Lawn Boy is an important, entertaining, and completely winning novel about social class distinctions, about overcoming cultural discrimination, and about standing up for oneself.","Banned Books, Fiction, LGBT, Young Adult, Coming Of Age, Contemporary, Realistic Fiction"
631,"Evison, Jonathan",Lawn Boy,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,February 2022,Administrator,"For Mike Muñoz, a young Chicano living in Washington State, life has been a whole lot of waiting for something to happen. Not too many years out of high school and still doing menial work—and just fired from his latest gig as a lawn boy on a landscaping crew—he knows that he's got to be the one to shake things up if he's ever going to change his life. But how? In this funny, angry, touching, and ultimately deeply inspiring novel, bestselling author Jonathan Evison takes the reader into the heart and mind of a young man on a journey to discover himself, a search to find the secret to achieving the American dream of happiness and prosperity. That's the birthright for all Americans, isn't it? If so, then what is Mike Muñoz's problem? Though he tries time and again to get his foot on the first rung of that ladder to success, he can't seem to get a break. But then things start to change for Mike, and after a raucous, jarring, and challenging trip, he finds he can finally see the future and his place in it. And it's looking really good. Lawn Boy is an important, entertaining, and completely winning novel about social class distinctions, about overcoming cultural discrimination, and about standing up for oneself.","Banned Books, Fiction, LGBT, Young Adult, Coming Of Age, Contemporary, Realistic Fiction"
632,"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,Texas,Lamar Consolidated Independent School District,December 2021,Administrator,"For Mike Muñoz, a young Chicano living in Washington State, life has been a whole lot of waiting for something to happen. Not too many years out of high school and still doing menial work—and just fired from his latest gig as a lawn boy on a landscaping crew—he knows that he's got to be the one to shake things up if he's ever going to change his life. But how? In this funny, angry, touching, and ultimately deeply inspiring novel, bestselling author Jonathan Evison takes the reader into the heart and mind of a young man on a journey to discover himself, a search to find the secret to achieving the American dream of happiness and prosperity. That's the birthright for all Americans, isn't it? If so, then what is Mike Muñoz's problem? Though he tries time and again to get his foot on the first rung of that ladder to success, he can't seem to get a break. But then things start to change for Mike, and after a raucous, jarring, and challenging trip, he finds he can finally see the future and his place in it. And it's looking really good. Lawn Boy is an important, entertaining, and completely winning novel about social class distinctions, about overcoming cultural discrimination, and about standing up for oneself.","Banned Books, Fiction, LGBT, Young Adult, Coming Of Age, Contemporary, Realistic Fiction"
633,"Evison, Jonathan",Lawn Boy,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,"For Mike Muñoz, a young Chicano living in Washington State, life has been a whole lot of waiting for something to happen. Not too many years out of high school and still doing menial work—and just fired from his latest gig as a lawn boy on a landscaping crew—he knows that he's got to be the one to shake things up if he's ever going to change his life. But how? In this funny, angry, touching, and ultimately deeply inspiring novel, bestselling author Jonathan Evison takes the reader into the heart and mind of a young man on a journey to discover himself, a search to find the secret to achieving the American dream of happiness and prosperity. That's the birthright for all Americans, isn't it? If so, then what is Mike Muñoz's problem? Though he tries time and again to get his foot on the first rung of that ladder to success, he can't seem to get a break. But then things start to change for Mike, and after a raucous, jarring, and challenging trip, he finds he can finally see the future and his place in it. And it's looking really good. Lawn Boy is an important, entertaining, and completely winning novel about social class distinctions, about overcoming cultural discrimination, and about standing up for oneself.","Banned Books, Fiction, LGBT, Young Adult, Coming Of Age, Contemporary, Realistic Fiction"
634,"Evison, Jonathan",Lawn Boy,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,January 2022,Administrator,"For Mike Muñoz, a young Chicano living in Washington State, life has been a whole lot of waiting for something to happen. Not too many years out of high school and still doing menial work—and just fired from his latest gig as a lawn boy on a landscaping crew—he knows that he's got to be the one to shake things up if he's ever going to change his life. But how? In this funny, angry, touching, and ultimately deeply inspiring novel, bestselling author Jonathan Evison takes the reader into the heart and mind of a young man on a journey to discover himself, a search to find the secret to achieving the American dream of happiness and prosperity. That's the birthright for all Americans, isn't it? If so, then what is Mike Muñoz's problem? Though he tries time and again to get his foot on the first rung of that ladder to success, he can't seem to get a break. But then things start to change for Mike, and after a raucous, jarring, and challenging trip, he finds he can finally see the future and his place in it. And it's looking really good. Lawn Boy is an important, entertaining, and completely winning novel about social class distinctions, about overcoming cultural discrimination, and about standing up for oneself.","Banned Books, Fiction, LGBT, Young Adult, Coming Of Age, Contemporary, Realistic Fiction"
